conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,resolver problemas técnicos,released,skill/competence,cross-sector,solucionar problemas técnicos | arreglar problemas técnicos | detectar problemas técnicos,"Identificar problemas técnicos al accionar dispositivos y utilizar entornos digitales, y resuélvalos (desde la resolución de fallos hasta problemas más complejos).",http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996 | http://data.europa.eu/esco/skill/0b9968af-72de-470a-98e1-2d19577443fb | http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,detectar problemas | resolver problemas informáticos | resolución de problemas con herramientas digitales
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce,utilizar servicios electrónicos,released,skill/competence,cross-sector,intervenir en la vida ciudadana mediante tecnologías digitales | participar en la vida ciudadana utilizando tecnologías digitales,Participar en la sociedad mediante el uso de servicios digitales públicos y privados. Buscar oportunidades para autocapacitación y para la ciudadanía participativa a través de las tecnologías digitales adecuadas.,http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,utilizar herramientas digitales para la colaboración y la productividad | comunicación y colaboración digitales
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9,utilizar las tecnologías digitales con creatividad,released,skill/competence,cross-sector,,Utilizar herramientas y tecnologías digitales para crear conocimientos e innovar procesos y productos. Participar individual y colectivamente en el proceso cognitivo con el fin de comprender y resolver los problemas conceptuales y las situaciones problemáticas en entornos digitales.,http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,utilizar herramientas digitales para la colaboración y la productividad | resolución de problemas con herramientas digitales
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650,"evaluar datos, información y contenido digitales",released,skill/competence,cross-sector,"analizar datos, información y contenido digitales | examinar datos, información y contenido digitales | evaluar datos, información y contenidos digitales | evaluar datos, información y contenido electrónicos","Analizar, comparar y evaluar críticamente la credibilidad y fiabilidad de las fuentes de datos, la información y el contenido digitales. Analizar, interpretar y evaluar críticamente los datos, la información y el contenido digitales.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/1f2950c0-ef1e-44b4-9a55-125ccd7b78af,tratamiento digital de los datos | analizar y evaluar información y datos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,programación informática,released,knowledge,cross-sector,,"Las técnicas y principios de desarrollo de software, como análisis, algoritmos, codificación, ensayos y compilación de modelos de programación (por ejemplo, programación orientada a objetos, programación funcional) y de lenguajes de programación.",http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/isced-f/0613,creación de contenidos digitales | desarrollo y análisis de software y aplicaciones
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/238343b1-7b51-42b3-a9ed-cf24d3a236e7,identificar carencias en competencias digitales,released,skill/competence,cross-sector,reconocer las carencias en competencias digitales | detectar las deficiencias en competencias digitales | detectar las lagunas en competencias digitales,Comprender la necesidad de mejorar o actualizar la competencia digital propia. Ser capaz de apoyar a otros con el desarrollo de sus competencias digitales. Buscar oportunidades de autodesarrollo y mantenerse al día con la evolución digital.,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/54f7432d-a8b6-4ed4-a50e-9ec882320595,"resolución de problemas con herramientas digitales | realizar seguimiento, inspección y ensayos"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34a99f-9813-4c91-9509-b6b9b8c3132e,colaborar utilizando tecnologías digitales,released,skill/competence,cross-sector,colaborar mediante tecnologías digitales,"Utilizar herramientas y tecnologías digitales para los procesos de colaboración, y para la construcción conjunta y la creación conjunta de recursos y conocimientos.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,utilizar herramientas digitales para la colaboración y la productividad | comunicación y colaboración digitales
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb,proteger datos personales y la privacidad,released,skill/competence,cross-sector,proteger los datos y la intimidad personales,"Proteger los datos personales y la privacidad en entornos digitales. Comprender cómo utilizar y compartir información personalmente identificable, protegiéndose al mismo tiempo a sí mismo y a terceros frente a daños. Entender que los servicios digitales utilizan una «Política de privacidad» para informar sobre cómo se utilizan los datos personales.",http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/2b6e15f5-dfa0-4e7c-9687-5665b07e56a4,seguridad de las tecnologías de la información y de las comunicaciones | proteger la privacidad y los datos personales
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/40001d93-8937-4859-89d5-2dca53290ff4,"utilizar tecnologías digitales para compartir datos, información y contenido digitales",released,skill/competence,cross-sector,"utilizar tecnologías digitales para compartir datos, información y contenidos digitales","Compartir datos, información y contenidos digitales con otras personas a través de las tecnologías digitales adecuadas. Actuar como intermediario, conocer las referencias y las prácticas de atribución.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,utilizar herramientas digitales para la colaboración y la productividad | comunicación y colaboración digitales
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,seguridad de las tecnologías de la información y de las comunicaciones,released,,,seguridad de las TIC | seguridad informática,"Protección personal, protección de datos, protección de la identidad digital, medidas de seguridad, uso seguro y sostenible.",http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,proteger dispositivos de tic
