conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,released,knowledge,sector-specific,,"Las técnicas y principios de desarrollo de software, como análisis, algoritmos, codificación, pruebas y compilación de paradigmas de programación en Haskell.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,programación informática | desarrollo y análisis de software y aplicaciones
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,modelo de desarrollo incremental,released,knowledge,sector-specific,ciclo de vida de desarrollo incremental de software | modelo de desarrollo de software | modelo SDLC incremental,El modelo de desarrollo incremental es una metodología para diseñar sistemas y aplicaciones de software.,http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9,desarrollo y análisis de software y aplicaciones | metodologías de gestión de proyectos de TIC
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,released,knowledge,sector-specific,,"El programa informático KDevelop es un conjunto de herramientas de desarrollo de software para escribir programas, como compiladores, depuradores, editores de códigos, información destacada de códigos, empaquetado en una interfaz de usuario unificada. Lo desarrolla la comunidad de software KDE.",http://data.europa.eu/esco/skill/925463a7-d51f-4d5b-9f79-4d28cf30acde | http://data.europa.eu/esco/isced-f/0612,software de entorno de desarrollo interactivo | diseño y administración de redes y bases de datos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (sistemas de gestión de aprendizaje),released,knowledge,sector-specific,,"El sistema de aprendizaje Absorb es una plataforma de aprendizaje electrónico para crear, administrar y ofrecer cursos de educación en línea o programas de formación para estudiantes de secundaria.",http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834 | http://data.europa.eu/esco/isced-f/0612,sistemas de gestión de aprendizaje | diseño y administración de redes y bases de datos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01d269d9-b058-4d6c-82a0-3779af9a124b,desarrollar arquitecturas innovadoras de cadena de bloques,released,skill/competence,cross-sector,,"Desarrollar nuevas arquitecturas de cadena de bloques que aborden las propiedades y prioridades que sean necesarias para aplicaciones específicas. Argumentar las ventajas y desventajas de estas nuevas arquitecturas con respecto a las ya existentes.
	",http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce,diseñar sistemas o aplicaciones de tic
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02058de6-4b98-449f-8a45-8588b0eb2446,ingeniería de redes,released,knowledge,sector-specific,,"Subcampo de la tecnología informática que se refiere a la gestión de la conectividad de las redes a través de servicios de datos, voz, llamadas y redes inalámbricas.
	",http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5 | http://data.europa.eu/esco/isced-f/0714,tecnología informática | electrónica y automatización
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,migrar datos existentes,released,skill/competence,sector-specific,,"Aplicar métodos de migración y conversión para los datos existentes, a fin de transferir o convertir datos de un formato a otro y entre distintos sistemas de almacenamiento o sistemas informáticos.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"gestionar, recopilar y almacenar datos digitales"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,definir la estructura física de bases de datos,released,skill/competence,sector-specific,fijar la estructura física de bases de datos | elaborar la estructura física de bases de datos | determinar la estructura física de bases de datos | establecer la estructura física de bases de datos | crear la estructura física de bases de datos,"Especificar la configuración física de los archivos de bases de datos en un medio determinado. Esto consiste en especificaciones pormenorizadas de las opciones de indización, los tipos de datos y los elementos de datos introducidos en el diccionario de datos.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"gestionar, recopilar y almacenar datos digitales"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,released,knowledge,sector-specific,,"La plataforma Maltego es una aplicación forense que utiliza la minería de datos para ofrecer una visión general del entorno de las organizaciones, probar las debilidades de seguridad del sistema para el acceso potencialmente no autorizado y demuestra la complejidad de los fallos de la infraestructura.",http://data.europa.eu/esco/skill/de586dcf-d7e5-4340-bf5b-d59026f1b436 | http://data.europa.eu/esco/isced-f/0613,herramienta para pruebas de penetración | desarrollo y análisis de software y aplicaciones
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,operar el equipo de radio,released,skill/competence,cross-sector,trabajar con el equipo de radio | utilizar el equipo de radio,"Instalar y operar dispositivos y accesorios de radio como consolas de radiodifusión, amplificadores y micrófonos. Comprender los aspectos básicos del lenguaje de los operadores de radio y, cuando sea necesario, proporcionar instrucciones para el correcto manejo de los equipos de radio.",http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6 | http://data.europa.eu/esco/skill/9bafaea2-76cd-4532-ab77-8b3d21fa6235,manejar equipos de comunicaciones | coordinar comunicaciones remotas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,Erlang,released,knowledge,sector-specific,,"Técnicas y principios de desarrollo de software, como análisis, algoritmos, codificación, pruebas y compilación de paradigmas de programación en Erlang.",http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,desarrollo y análisis de software y aplicaciones | programación informática
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,gestionar la clasificación de datos de las TIC,released,skill/competence,sector-specific,,Supervisar el sistema de clasificación que utiliza una organización para organizar sus datos. Asignar un propietario a cada concepto de datos o conjunto de conceptos y determinar el valor de cada dato.,http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c | http://data.europa.eu/esco/skill/4d85b881-e490-4b4c-897a-2faa4ef53956,"gestionar, recopilar y almacenar datos digitales | gestionar arquitecturas de datos informáticos"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,estructura de la información,released,knowledge,sector-specific,,"El tipo de infraestructura que define el formato de los datos: semiestructurados, no estructurados y estructurados.",http://data.europa.eu/esco/isced-f/0612,diseño y administración de redes y bases de datos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04473991-161d-46db-8684-0d5ed6cb6c66,gestionar redes de TIC temporales para espectáculos en vivo,released,skill/competence,occupation-specific,,"Gestionar la instalación de redes para la distribución de señales de control para aplicaciones de artes escénicas y eventos. Coordinarse con los distintos usuarios. Definir e instalar el equipo, los cables, las conexiones y los dispositivos. Configurar y poner a prueba el equipo y el rendimiento de la red y realizar un seguimiento de estos. Las señales de control incluyen, por ejemplo, datos de DMX, RDM, MIDI, de código temporal, seguimiento y posicionamiento, pero también señales de audio, vídeo y posicionamiento.
   ",http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20,configurar sistemas informáticos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0458f6a0-cb54-4ff5-a543-b2c5354e17c0,mantenerse al día de las innovaciones digitales en los procedimientos industriales,released,skill/competence,sector-specific,seguir las innovaciones digitales en los procedimientos industriales | estar al día de las innovaciones digitales en los procedimientos industriales | mantenerse informado de las innovaciones digitales en los procedimientos industriales | estar al tanto de las innovaciones digitales en los procedimientos industriales | estar informado sobre las innovaciones digitales en los procedimientos industriales,Mantenerse al día de las innovaciones digitales aplicables a los procedimientos industriales. Integrar estas transformaciones en los procesos de la empresa con vistas a unos modelos de negocio competitivos y rentables.,http://data.europa.eu/esco/skill/e2a5e046-3357-493e-bbdc-8d0ef82005cc,realizar seguimiento de avances en el ámbito de especialización
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04cf164c-d07d-49cf-a1b3-84bdbd79b5cb,configurar los equipos de oficina,released,skill/competence,occupation-specific,,"Conectar equipos de oficina, como módems, escáneres e impresoras, a la red eléctrica y efectuar una interconexión eléctrica para evitar diferencias de potencial que puedan resultar peligrosas. Probar la instalación para verificar su buen funcionamiento. Controlar la configuración y preparar el aparato para su utilización.",http://data.europa.eu/esco/skill/906211b3-afed-4a2b-b5e1-33f2885fee85,realizar tareas de oficina y administrativas generales
