conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,ingeniero biomédico/ingeniera biomédica,released,ingeniera biomédica | ingeniero biomédico,"Los ingenieros biomédicos combinan el conocimiento de principios de ingeniería y de hallazgos biológicos para el desarrollo de tratamientos médicos y medicamentos, así como  para la aplicación a la asistencia sanitaria en general. Pueden desarrollar soluciones que van desde la mejora de los componentes de medicamentos convencionales hasta la innovación en implantes, pasando por el tratamiento de tejidos.",http://data.europa.eu/esco/occupation/f9433fdb-dde1-46cf-9e91-b49d243946a7,bioingeniero/bioingeniera
Occupation,http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminólogo/criminóloga,released,criminólogo | criminóloga,"Los criminólogos estudian las condiciones relacionadas con los seres humanos, como los aspectos sociales y psicológicos que podrían llevarles a cometer actos delictivos. Observan y analizan diferentes factores que van desde las condiciones de comportamiento hasta el entorno social y el medio ambiente de los sospechosos para asesorar a las organizaciones sobre la prevención de la delincuencia.",http://data.europa.eu/esco/isco/C2632,"Sociólogos, antropólogos y afines"
Occupation,http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659,profesor universitario de economía/profesora universitaria de economía,released,profesora universitaria de economía | profesor universitario de economía,"Los profesores universitarios de economía son catedráticos de dicha materia, catedráticos auxiliares, profesores, profesores universitarios, profesores universitarios colaboradores o tutores que forman a los estudiantes en su especialidad de estudio, la economía. Elaboran un plan de estudios, preparan clases (clases teóricas, clases prácticas, seminarios, sesiones de formación, etc.), hacen un seguimiento de los resultados del aprendizaje y supervisan la rama de estudio de los alumnos. Llevan a cabo investigaciones académicas en su campo de la economía y presentan sus trabajos en congresos y en publicaciones. Participan en algunas funciones de gestión de las universidades.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,profesor de educación superior/profesora de educación superiora
Occupation,http://data.europa.eu/esco/occupation/0bf5d25a-2b4d-43b5-b053-beeb210fa43a,profesor universitario de medicina/profesora universitaria de medicina,released,profesor universitario de medicina | profesora universitaria de medicina,"Los profesores universitarios de medicina son catedráticos de dicha materia, profesores, o profesores universitarios y a menudo médicos que forman en su disciplina de especialidad, la medicina —de carácter predominantemente académico— a estudiantes que han obtenido un título de enseñanza secundaria posobligatoria. Trabajan con sus ayudantes de investigación y ayudantes de apoyo al profesorado universitario en la preparación de clases teóricas y exámenes, en la puntuación de trabajos y exámenes, en la dirección de las prácticas de laboratorio, así como en la dirección de sesiones de repaso y tutorías para los estudiantes. También llevan a cabo investigaciones académicas en su área de especialidad dentro del ámbito de la medicina, publican sus trabajos y colaboran con otros compañeros de trabajo en la universidad.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,profesor de educación superior/profesora de educación superiora
Occupation,http://data.europa.eu/esco/occupation/0c7c9606-fde3-4658-8136-8fe0c9b8bd09,ingeniero especializado en productos sanitarios/ingeniera especializada en productos sanitarios,released,ingeniero biomédico | ingeniera biomédica | ingeniera especializada en productos sanitarios | ingeniero especializado en productos sanitarios,"Los ingenieros especializados en productos sanitarios diseñan y desarrollan sistemas, instalaciones y equipos técnico-sanitarios tales como marcapasos, escáneres de resonancia magnética (IRM) y aparatos de rayos X. Hacen un seguimiento de todo el proceso de fabricación desde el diseño conceptual hasta la aplicación del producto. Entre las actividades emprendidas figuran el diseño de mejoras en los productos, el desarrollo de métodos y técnicas para evaluar la idoneidad de diseño, la coordinación de la producción inicial, el desarrollo de procedimientos de ensayo y el diseño de diagramas de fabricación.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,ingeniero electrónico/ingeniera electrónica
Occupation,http://data.europa.eu/esco/occupation/0cd729a6-ed11-4338-ac4b-d4b924390128,historiador/historiadora,released,historiadora | historiador,"Los historiadores investigan, analizan, interpretan y presentan el pasado de las sociedades humanas. Analizan documentos, fuentes y rastros del pasado para comprender las sociedades anteriores.",http://data.europa.eu/esco/isco/C2633,"Filósofos, historiadores y especialistas en ciencias políticas"
Occupation,http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,químico/química,released,química | químico,Los químicos llevan a cabo investigaciones de laboratorio mediante ensayos y análisis de la estructura química de sustancias. Traducen los resultados de la investigación en procesos de producción industrial que a su vez se utilizan en el desarrollo o la mejora de productos. Los químicos también someten los productos manufacturados a pruebas de calidad y de evaluación de su impacto medioambiental.,http://data.europa.eu/esco/isco/C2113,Químicos
Occupation,http://data.europa.eu/esco/occupation/10291962-c0c7-4e5b-a7ed-0762b4d9b010,farmacólogo/farmacóloga,released,farmacólogo | farmacóloga,"Los farmacólogos estudian la manera en que las drogas y los medicamentos interactúan con los organismos, los sistemas de vida y sus partes (células, tejidos u órganos). Su investigación tiene por objeto identificar las sustancias que pueden ser ingeridas por los seres humanos y que ejercen funciones bioquímicas adecuadas para curar enfermedades.",http://data.europa.eu/esco/isco/C2131,"Biólogos, botánicos, zoólogos y afines"
Occupation,http://data.europa.eu/esco/occupation/116b4c55-5bd0-41e9-9227-98d7ecffeaf6,profesor universitario de sociología/profesora universitaria de sociología,released,profesor universitario de sociología | profesora universitaria de sociología,"Los profesores universitarios de sociología son catedráticos de dicha materia, profesores, o profesores universitarios que forman en su disciplina de especialidad, la sociología —de carácter predominantemente académico— a estudiantes que han obtenido un título de enseñanza secundaria posobligatoria. Trabajan con sus ayudantes de investigación y ayudantes de apoyo al profesorado universitario en la preparación de clases teóricas y exámenes, en la puntuación de trabajos y exámenes, y en la dirección de sesiones de repaso y tutorías para los estudiantes. También llevan a cabo investigaciones académicas en su área de especialidad dentro del ámbito de la sociología, publican sus trabajos y colaboran con otros compañeros de trabajo en la universidad.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,profesor de educación superior/profesora de educación superiora
Occupation,http://data.europa.eu/esco/occupation/11a6d0f6-e692-4774-aa5f-193b67d31022,kinesiólogo/kinesióloga,released,kinesióloga | kinesiólogo,"Los kinesiólogos estudian e investigan el movimiento del cuerpo, sus músculos y partes. Analizan y utilizan datos y métodos científicos para mejorar el movimiento corporal, generalmente en seres humanos, gracias a la comprensión de ámbitos tales como la fisiología, la cinética, la neurología y la biología. Reconocen los efectos que algunos factores, como la condición física, tienen en el movimiento y desarrollan soluciones para mejorar la mecánica y la movilidad en general.",http://data.europa.eu/esco/isco/C2269,Profesionales de la salud no clasificados bajo otros epígrafes
