model_name,MAP,loss,epochs,training_time (s),date,notes
jjzha/esco-xlm-roberta-large,0.006852036807686,,,,19-03-2025 11:17:43,First Run
jjzha/esco-xlm-roberta-large,0.006852036807686,,,,19-03-2025 11:30:37,Test 2
jjzha/esco-xlm-roberta-large,0.006852036807686,,,,19-03-2025 11:35:18,Test 3
jjzha/esco-xlm-roberta-large,0.006852036807686,,,,19-03-2025 11:36:08,Test 4
sentence-transformers/all-MiniLM-L6-v2,0.0118653764948248,,,,19-03-2025 13:02:35,mô hình khác
sentence-transformers/all-mpnet-base-v2,0.0123817594721913,,,,19-03-2025 13:06:26,mô hình khác
sentence-transformers/all-mpnet-base-v2,0.0063653672114014,,1.0,,19-03-2025 14:27:09,thử train trực tiếp tập train
sentence-transformers/all-mpnet-base-v2,0.0063653672114014,ContrastiveLoss,1.0,,19-03-2025 14:28:32,thử train trực tiếp tập train
agne/jobBERT-de,0.0116124590858817,,,,19-03-2025 15:33:09,Test
agne/jobBERT-de,0.01161245908588171,,,,19-03-2025 15:38:09,Test
